section,sheet,film_kr,film_en,field,korean,english
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,자리,Jaari,작품명,자리,Jaari
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,자리,Jaari,시놉시스,"1995년, 끊임없이 다투는 부부 남상(다야항 라이)과 그의 아내 항마(미루나 마가르)의 이야기로 시작한다. 결국 항마는 남상을 떠나 부모님의 집으로 돌아가고, 그녀는 다른 남자 로이딥 슈레스타를 만나 떠나지만, 가족이 배상금을 지불하지 못하자 결국 남상에게 돌아오게 되는데···","Set in 1995, the story follows Namsang (Dayahang Rai) and his wife Hangma (Miruna Magar), who are constantly arguing and fighting. Eventually, Hangma leaves Namsang and returns to her parents' house. She elopes with another man, Roydeep Shrestha, but eventually returns to Namsang when her family is unable to pay him compensation for her elopement."
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,자리,Jaari,프로그램 노트,"시인, 각본가로 활동하던 감독의 네팔 역대 흥행 3위를 기록한 데뷔작이다. 영화는 림부족의 팔람춤이나 전통복식, 통바 같은 음료 등의 전통문화와 전통이라는 이름으로 유지되는 불평등한 관습을 소재로 하고 있다. 네팔의 국민배우 다야항 라이와 미루나 마가르의 연기를 확인할 수 있다.","This is the debut film of a director who worked as a poet and screenwriter, and it recorded the third highest box office hit in Nepal. The film is based on the traditional culture of the Limbu tribe, such as the Palam dance, traditional clothing, and drinks like Tongba, as well as the unequal customs maintained in the name of tradition. You can see the performances of Nepal's national actors Dayahang Rai and Miruna Magar."
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,자리,Jaari,노트 작성자,프로그래머 이정진,"Jinna Lee, Programmer
Sagar Raaj, Manager"
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,자리,Jaari,감독명,우펜드라 수바,Upendra Subba
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,자리,Jaari,바이오,"네팔 출신의 시인이자 작사가, 작가, 영화감독. 말수가 적고 소박한 인물이다. 그가 각본을 쓰고 연기한 <카바디>의 자크리 바제처럼 유쾌하고 재치 있는 사람일 거라 짐작하는 이들도 많다.","Upendra Bahadur Angdembe Limbu who is known as Upendra Subba is a Nepali poet, lyricist, writer, and film director. Upendra Subba is a man of few words and a whole lot of simplicity. One would imagine him to be jovial and witty like the character he played in the Jhakri Baje in Kabaddi, of which he wrote the script."
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,자리,Jaari,영화정보,Nepal | 2023 | 121min | Color | Fiction | Korean Premiere,
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,레드 수트케이스,The Red Suitcase,작품명,레드 수트케이스,The Red Suitcase
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,레드 수트케이스,The Red Suitcase,시놉시스,"해외에서 도착한 짐을 싣고 카트만두 공항을 떠나는 픽업트럭 운전사. 이틀을 운전해 외딴 산골 마을로 향한다. 그리고 고속도로 위, 한 남자가 작고 빨간 여행 가방을 끌며 같은 마을을 향해 천천히 걸어간다.","A pick-up truck driver leaves Kathmandu airport for a two-day drive with a delivery arriving from abroad to a remote mountain village. On the high road, a solitary figure slowly makes his way, wheeling a small red suitcase toward the same village."
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,레드 수트케이스,The Red Suitcase,프로그램 노트,"정치적, 경제적 불확실성에 직면한 네팔 젊은이들의 정신을 반영한 영화. 이주와 송금이 초래한 사회적 대가를 조명하고 ‘싸구려’에 ‘소모품’이 되어버린 이주 노동자들의 삶을 드러낸다. 그들의 희망과 꿈, 그리고 절망은 깊은 울림을 준다. 이 영화는 전 세계 수백만 이주 노동자들에게 바치는 헌사다.","This film reflects the spirit of Nepalese youth facing political and economic uncertainty. It highlights the social costs of migration and remittance in Nepal. The story reveals the “cheap” and “expendable” lives of migrant workers, while resonating with their hopes, dreams, and despair. This film is my tribute to millions of migrant workers worldwide."
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,레드 수트케이스,The Red Suitcase,노트 작성자,감독 피델 데브코다,"Fidel Devkota, Director"
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,레드 수트케이스,The Red Suitcase,감독명,피델 데브코다,Fidel Devkota
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,레드 수트케이스,The Red Suitcase,바이오,"네팔 출신 영화감독이자 시각 인류학 박사. 환경과 정치의 지속적인 변화 속에서 네팔의 정신적, 사회적, 경제적 전환을 탐구한다. 여러 편의 단편 영화를 연출했으며, <레드 수트케이스>는 첫 장편영화다.","Fidel Devkota is a Nepalese filmmaker and visual anthropologist (PhD). His work explores the spiritual, social, and economic transformations in Nepal amidst ongoing environmental and political change. Having directed several short films, The Red Suitcase is his first narrative feature."
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,레드 수트케이스,The Red Suitcase,영화정보,"Nepal, Sri Lanka | 2023 | 87min | Color | Fiction | Korean Premiere",
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,스노 레오파드 자매,Snow Leopard Sisters,작품명,스노 레오파드 자매,Snow Leopard Sisters
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,스노 레오파드 자매,Snow Leopard Sisters,시놉시스,"<스노 레오파드 자매>는 히말라야 외딴곳에 사는 두 원주민 여성 간의 놀랍고도 강렬한 우정을 담은 이야기다. 영화는 강제 결혼에서 벗어나고 싶은 17세 소녀 텐진 부티 구룽과 그녀의 멘토 이자 지역 설표 보호 운동가인 츠히링 라무 라마의 여정을 따라간다. 험난한 히말라야의 절경을 가로지르며, 이들은 멸종 위기에 처한 마지막 설표를 찾아 나선다.","Snow Leopard Sisters tells the inspiring story of an unlikely yet powerful friendship between two Indigenous women in one of the most isolated corners of the Himalayas. The film follows local snow leopard conservationist Tshiring Lhamu Lama as she mentors 17-year-old Tenzin Bhuti Gurung, who is desperate to escape a forced marriage. Together, they journey through the treacherous yet breathtaking landscape of the Himalayas in search of the last remaining endangered snow leopards."
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,스노 레오파드 자매,Snow Leopard Sisters,프로그램 노트,이 영화는 멸종 위기인 네팔 돌포 지역의 설표 개체수 회복을 위한 노력의 일환으로 기획·제작되었다.,This film was conceived and produced to help revive the endangered population of snow leopards in Nepal’s remote Dolpo district.
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,스노 레오파드 자매,Snow Leopard Sisters,노트 작성자,감독 벤 아이어스,"Ben Ayers, Director"
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,스노 레오파드 자매,Snow Leopard Sisters,감독명,"소남 초이키 라마, 벤 아이어스, 앤드류 린치","Sonam Choekyi Lama, Ben Ayers, Andrew Lynch"
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,스노 레오파드 자매,Snow Leopard Sisters,바이오,"세 사람은 2025년 3월 SXSW에서 처음 선보인 <스노 레오파드 자매>를 공동연출했다. 네팔에 거주하는 25년 경력의 언론인이자 영화 제작자인 아이어스가 네팔 촬영 감독 라마 의 장편 데뷔작을 도왔고, 런던 기반의 프로듀서 겸 촬영감독 린치가 노아미디어그룹을 통해 팀에 합류했다.","Sonam Choekyi Lama, Ben Ayers, Andrew Lynch co-directed Snow Leopard Sisters, which premiered at SXSW in March 2025. Ayers, a Nepal-based journalist and filmmaker of 25 years, teamed with Nepali cinematographer Lama for her feature debut. Lynch, a London-based producer/cinematographer, joined via Noah Media Group to complete the trio."
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,스노 레오파드 자매,Snow Leopard Sisters,영화정보,UK | 2024 | 97min | Color | Documentary | Asian Premiere,
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,울 스웨터,The Woolen Sweater,작품명,울 스웨터,The Woolen Sweater
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,울 스웨터,The Woolen Sweater,시놉시스,"네팔 동부 구릉지대의 다문화적 배경 속에서 펼쳐지는 이 영화는, 사랑과 사람이 주는 따스함이 가득 찬 여정으로 우리를 초대한다. 아버지로부터 기술을 물려받은 숙련된 석공 다라니다르 카플레. 그는 종종 아버지의 절친한 친구를 찾아 구릉지대로 향하고, 그곳에서 어린 시절 짝사랑했던 풀 구룽과 재회하게 된다.","Based in the multi-cultural settings of Eastern hills of Nepal, film takes us on a journey filled with the warmth of love and human connections. The film follows Dharanidhar Kafle, a skilled mason who has inherited his craft from his father. Dharani frequently visits his father’s soul friend in the highlands where he reconnects with his childhood crush, Phool Gurung."
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,울 스웨터,The Woolen Sweater,프로그램 노트,<울 스웨터>는 네팔 동부 구릉지대를 배경으로 한 진솔한 이야기를 통해 삶의 소박한 몸짓들에 담긴 사랑의 따스함을 전한다. 또한 구릉지대와 평원 지대에 사는 이들의 공동체적 유대를 통해 네팔의 아름다운 문화적 다양성을 보여준다.,"The Woolen Sweater presents authentic storytelling rooted in Nepal’s eastern hills, capturing the warmth of love through life’s simplest gestures. It represents Nepal’s beautiful cultural diversity through societal threads of people living in the highlands and the lowlands."
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,울 스웨터,The Woolen Sweater,노트 작성자,총괄 프로듀서 사가르 부다토키,"Sagar Budhathoki, Executive Producer"
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,울 스웨터,The Woolen Sweater,감독명,나빈 차우한,Nabin Chauhan
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,울 스웨터,The Woolen Sweater,바이오,"네팔 출신 감독 겸 작가이자 아트만두의 창립자. 연극으로 시작해, 시각적으로 풍부하고 진정성 있는 뮤지컬 영화로 주목받았다. 장편 데뷔작 <울 스웨터>로 네팔 영화계의 유망한 감독으로 자리매김 했다.","Nabin Chauhan is a Nepali writer-director and founder of Artmandu. Starting his career in theatre, he gained recognition for visually rich and authentic storytelling in musical films. His debut feature film The Woolen Sweater has established him as a promising voice in contemporary Nepali cinema."
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,울 스웨터,The Woolen Sweater,영화정보,Nepal | 2025 | 147min | Color | Fiction | International Premiere,
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,카스트를 넘어,Sanai,작품명,카스트를 넘어,Sanai
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,카스트를 넘어,Sanai,시놉시스,"11살 루파와 마야는 여전히 계급 차별과 가부장제가 만연한 마을에서 가장 친한 친구다. 한 명은 상위 계급인 브라만에, 다른 한 명은 불가촉천민인 달리트에 속한다. 주위 사람들은 늘 둘의 차이를 상기시키지만, 두 소녀에게 중요한 것은 무조건적인 사랑과 우정이다.","Rupa and Maya (11) are best friends in a village where class discrimination and patriarchy is still very much the norm. One belongs to a Brahmin (upper) caste while other a Dalit (untouchable) caste. Everyone else makes them feel that they are different from one another, but what matters to them is their unconditional love and friendship."
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,카스트를 넘어,Sanai,프로그램 노트,"카스트에 기반한 차별과 불가촉천민은 법으로 처벌받고 엄중히 규탄받지만, 오늘날까지도 네팔 전역에는 차별과 폭력 범죄가 여전히 존재한다. 우정이든 사랑이든, 모든 관계는 카스트, 성별, 계급, 사회의 억압에 의해 결정되는 것이 아니라, 가장 순수한 형태로 자연스럽게 피어날 수 있어야 한다.","Though Caste based discrimination and untouchability is punishable by law, and severely condemned, as of today discrimination and violent crimes very much exists across Nepal. Any relationship, whether it be friendship or love, should be allowed to blossom organically in its purest form, without caste, gender, class and oppressions of society determining the course it should take."
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,카스트를 넘어,Sanai,노트 작성자,감독 아칸차 카르키,"Akanchha Karki, Director"
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,카스트를 넘어,Sanai,감독명,아칸차 카르키,Akanchha Karki
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,카스트를 넘어,Sanai,바이오,카트만두 연극계의 핵심 인물로 극단 카타게라의 설립자다. 상담심리학 석사 학위를 바탕으로 정신 건강 인식 제고를 이야기에 녹여내며 성인지 감수성이 돋보이는 강렬한 작품을 만들어왔다. 현재는 영화제작으로 활동 영역을 넓혀 가고 있다.,"A powerhouse in Kathmandu’s theatre scene, Akanchha Karki is the founder of Katha Ghera. With a Master’s in Counseling Psychology, she blends storytelling with mental health advocacy to create compelling, gender-sensitive work. She is now expanding her focus to filmmaking."
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,카스트를 넘어,Sanai,영화정보,Nepal | 2022 | 15min | Color | Fiction | Korean Premiere,
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,사랑과 미움의 세레나데,Songs of Love and Hate,작품명,사랑과 미움의 세레나데,Songs of Love and Hate
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,사랑과 미움의 세레나데,Songs of Love and Hate,시놉시스,"인기 있는 연애 상담 라디오 쇼의 카리스마 넘치는 진행자 프렘은 정작 그 자신도 실연의 고통에 시달리고 있다. 험난한 산을 오르며 위안을 찾는 프렘. 감정이 요동치는 가운데, 그에게 조언을 구하는 청취자들의 절박한 목소리가 울려 퍼진다. 감정의 소용돌이와 자아 발견을 몰입감 있게 그린 이야기.","Prem, the charismatic host of a popular radio show offering advice on matters of the heart, is himself plagued by heartache. He seeks solace in the rugged mountains. As he goes through his own emotional upheaval, desperate calls from listeners asking him for advice echo through the wilderness. A gripping tale of emotional turmoil and self-discovery."
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,사랑과 미움의 세레나데,Songs of Love and Hate,프로그램 노트,"2022년 겨울, 이별의 아픔으로 방황하던 중 10대 시절 신문에 실린 연애 조언 칼럼을 훑어보던 기억이 떠올랐다. 이 개인적인 경험에 사회적 담론을 더해 네팔 사회 속 관계의 의미를 탐구하는 영화를 구상하게 되었다.","In the winter of 2022, still ailing from a broken relationship and seeking guidance, I remembered flipping 
through relationship advice columns in the newspaper during my teenage years. That blend of personal 
experience and social discourse inspired the idea for a film exploring how relationships function within Nepali society."
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,사랑과 미움의 세레나데,Songs of Love and Hate,노트 작성자,감독 사우라브 기미어,"Saurav Ghimire, Director"
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,사랑과 미움의 세레나데,Songs of Love and Hate,감독명,사우라브 기미어,Saurav Ghimire
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,사랑과 미움의 세레나데,Songs of Love and Hate,바이오,"픽션과 다큐멘터리를 결합해 시적인 영화 세계를 창조하는 네팔의 오디오 비주얼 아티스트. 기록 영상과 현장 영상, 인터뷰, 노래와 시를 엮어 사랑, 정치, 문화, 역사의 사회적 의미를 사유하고 탐구한다.","Saurav Ghimire is a Nepali audiovisual artist blending fiction and documentary to forge poetic cinematic spaces. He weaves archival and live footage, interviews, songs, and poetry to explore love, politics, culture, and history, always aware of their social context."
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,사랑과 미움의 세레나데,Songs of Love and Hate,영화정보,Nepal | 2024 | 17min | B&W | Docufiction | Korean Premiere,
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,증인 나무,The Witness Tree,작품명,증인 나무,The Witness Tree
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,증인 나무,The Witness Tree,시놉시스,"아버지의 자살을 알게 된 후 정체성에 혼란을 겪고 있는 스리다르는 엄마인 사비트리에게 출생의 비밀을 밝혀달라며 성인식에서 도망친다. 사비트리는 고통스러운 진실로부터 아들을 지키고 싶으면서도, 아들에게 솔직하고 싶기도 하다. 남편이 목숨을 끊은 나무는 여전히 남아있고, 그 나무는 비밀을 쥔 채 위협이 되는 시아버지와 과거의 기억을 떠올리게 한다.","Sabitri takes her son Sridhar, who is questioning his own identity after the discovery of his father’s suicide, on a coming-of-age ritual. However, Sridhar runs away and demands his mother to reveal the secret of his origin. She wants to protect her son from the painful truth but also wants to be honest with him, but the tree where her husband hanged himself still stands, reminding her of the past and her father-in-law who holds the secret and poses a threat."
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,증인 나무,The Witness Tree,프로그램 노트,<증인 나무>는 한 청년이 가문의 다음 세대로서 성인식을 치르는 종교의식의 이야기이자 가족의 비밀을 밝히기 위해 고군분투하는 이야기이다.,"The Witness Tree is the story of the religious rite performed for the initiation of a young man into the next generation of the family, and the story of his struggle to reveal a family secret."
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,증인 나무,The Witness Tree,노트 작성자,감독 니란잔 라즈 비일,"Niranjan Raj Bhetwal, Director"
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,증인 나무,The Witness Tree,감독명,니란잔 라즈 비일,Niranjan Raj Bhetwal
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,증인 나무,The Witness Tree,바이오,"카트만두를 중심으로 활동 중인 재능 있는 네팔 영화감독. 네팔의 목소리와 문화를 진정성 있게 묘사하는 그의 작품은 가족, 마술적 사실주의, 영적인 인물과 같은 주제로 정체성과 사회에 대한 통찰을 보여준다.","Niranjan Raj Bhetwal is a talented Nepali filmmaker based in Kathmandu. Passionate about authentically portraying Nepali voices and culture, his films explore themes such as family, magical realism, and spiritually grounded characters, offering thoughtful insights into identity and society."
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,증인 나무,The Witness Tree,영화정보,"Nepal, USA | 2023 | 15min | Color | Fiction | None Premiere",
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,다이버시티 플라자,Diversity Plaza,작품명,다이버시티 플라자,Diversity Plaza
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,다이버시티 플라자,Diversity Plaza,시놉시스,"네팔, 티베트, 부탄에서 최근 미국으로 이주해 온 이민자들은 퀸즈 잭슨 하이츠에서 자신들만의 미국을 한 조각 빚어냈다. 미국과 그들이 떠나온 샹그릴라 고향이 포개져 모모, 달밧, 에마 다시 같은 음식을 파는 식당과 불교사원, 힌두 사원이 어우러지고, 사람을 대하는 그들만의 방식으로 채워진 이곳은 가히 히말라야의 소용돌이라 부를 만하다. 커져가는 편협과 배타의 목소리에 맞서 이 디아스포라 공동체는 다양성의 상징을 보여준다.","One of America’s more recent immigrants, the Nepali, Tibetan and Bhutanese, have shaped a piece of America in their own image in Jackson Heights, Queens. The result is a Himalayan vortex, America and the shangrilaic home they left behind, replete with momo, dal bhat and ema datse eateries, Buddhist monasteries and Hindu temples, and a way of caring for their fellow men and women. The diasporic community presents  a brand of diversity against the clamour for greater insularity and exclusionism."
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,다이버시티 플라자,Diversity Plaza,프로그램 노트,다양한 히말라야 사람들이 그들의 가장 자연스러운 모습대로 미국 사회에 녹아드는 모습을 보여주고자 한다.,The film seeks to show the varied Himalayan peoples in their “natural” mode of integrating to America.
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,다이버시티 플라자,Diversity Plaza,노트 작성자,"감독 케상 체텐
프로듀서 시에나 R. 크레이그","Kesang Tseten, Director
Sienna R. craig, Producer"
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,다이버시티 플라자,Diversity Plaza,감독명,케상 체텐,Kesang Tseten
